"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"pc1"	"pc2"
"58"	"GA-POR-MI-8"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	0.577692320097844	1.15108878349661	0.0858611620389999	0.266155262922591	-1.48995104976774	-0.104319940658689	-0.382058436948693	0.600573688008689	-0.0545724815973937	0.646294922711653	-0.432304787835899	-0.686511982715139	0	9.0205620750794e-17	81.71	15.93
"59"	"GA-POR-MI-9"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-2.32074107515597	2.14619754167883	1.09270483727695	0.302433171976188	-0.707153429333851	-0.0988928758070111	-0.364789922250067	0.563111883148303	-0.119561169168548	0.673807672909944	-0.457244062045196	-0.738605145213003	0	2.22044604925031e-16	81.71	15.93
"60"	"GA-POR-RA-10"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	-3.62467551648692	1.04293932616737	-1.01100442655457	0.808479365781341	-0.129937289925795	-0.314124396224746	-0.945524912134753	1.34423345167067	1.01748129177529	0.188094978257072	-0.00102024372763948	-0.0154347171213013	0	1.11022302462516e-16	81.71	15.93
"61"	"GA-POR-RA-11"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	0.235911471565305	-0.02922695142832	-2.65956082337136	-0.646535167957193	0.302710116661038	-0.176150932192457	-0.477756625193408	0.683628836760399	0.523240715628639	0.0953098372229652	-9.27494297890027e-05	-0.00140315610194136	0	-2.22044604925031e-16	81.71	15.93
"62"	"GA-POR-RA-12"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	-3.62467551648692	1.04293932616737	-1.01100442655457	0.808479365781341	-0.129937289925795	-0.314124396224746	-0.945524912134753	1.34423345167067	1.01748129177529	0.188094978257072	-0.00102024372763948	-0.0154347171213013	0	1.11022302462516e-16	81.71	15.93
"63"	"GA-POR-RA-13"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	-0.283220528091791	0.0338740622140127	-2.64290348765859	-1.07399838544591	-0.226637916182035	0.012073920163518	-0.00896087624817283	-0.00734151107773707	-0.00398712562779306	-0.000200277470035882	-9.274942978454e-05	-0.00140315610193517	0	-3.33066907387547e-16	81.71	15.93
"64"	"GA-POR-RA-14"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	-3.62467551648692	1.04293932616737	-1.01100442655457	0.808479365781341	-0.129937289925795	-0.314124396224746	-0.945524912134753	1.34423345167067	1.01748129177529	0.188094978257072	-0.00102024372763948	-0.0154347171213013	0	1.11022302462516e-16	81.71	15.93
"65"	"GA-POR-RA-15"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	-2.98693912902684	1.00241825298278	-1.78825941185785	-0.850300114512286	0.170423446794347	-0.171992868193178	-0.466413756299729	0.650919581598483	0.490347224303664	0.0922330763924478	-0.00102024372763504	-0.0154347171212946	0	-1.45716771982052e-16	81.71	15.93
"66"	"GA-POR-RA-16"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	-0.469588695238965	0.315509409412309	-1.24423288585092	0.563817209698804	0.039454193516749	0.515248932673681	-0.632487728540254	0.718781670271155	0.521834108856579	0.100586644797314	-9.27494297884917e-05	-0.00140315610194083	0	2.77555756156289e-17	81.71	15.93
"67"	"GA-POR-RA-17"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	-1.02248028167167	0.0829368938486748	-1.64997621796274	0.469527834281929	0.288828501310072	-0.0230263628244172	-0.00110564544687474	-0.00912611426723051	-0.0039157164501798	-0.000468165053682825	-9.27494297845758e-05	-0.00140315610193529	0	-6.93889390390723e-17	81.71	15.93
"68"	"GA-POR-RA-18"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"69"	"GA-POR-RA-19"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	-3.62467551648692	1.04293932616737	-1.01100442655457	0.808479365781341	-0.129937289925795	-0.314124396224746	-0.945524912134753	1.34423345167067	1.01748129177529	0.188094978257072	-0.00102024372763948	-0.0154347171213013	0	1.11022302462516e-16	81.71	15.93
"70"	"GA-POR-RA-20"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	-0.710103964428737	0.0493822958914554	-1.76173312175112	0.739390593760075	0.144692552968646	-0.130057607868048	-0.488072032083197	0.685972358994449	0.523146941843835	0.0956616243945882	-9.27494297889775e-05	-0.0014031561019416	0	-6.93889390390723e-18	81.71	15.93
"71"	"GA-POR-RA-22"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	-3.62467551648692	1.04293932616737	-1.01100442655457	0.808479365781341	-0.129937289925795	-0.314124396224746	-0.945524912134753	1.34423345167067	1.01748129177529	0.188094978257072	-0.00102024372763948	-0.0154347171213013	0	1.11022302462516e-16	81.71	15.93
"72"	"GA-POR-RA-23"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	-2.98693912902684	1.00241825298278	-1.78825941185785	-0.850300114512286	0.170423446794347	-0.171992868193178	-0.466413756299729	0.650919581598483	0.490347224303664	0.0922330763924478	-0.00102024372763504	-0.0154347171212946	0	-1.45716771982052e-16	81.71	15.93
